key,creation-date,resolution-date,resolution,type,priority
CLI-60,2005-02-02T07:47:22.000+0000,2007-03-15T16:49:16.000+0000,Duplicate,Bug,Major
CLI-59,2002-12-20T02:40:46.000+0000,2007-03-15T16:49:16.000+0000,Fixed,Bug,Major
CLI-58,2005-12-09T05:57:37.000+0000,2007-03-15T16:49:16.000+0000,Incomplete,Bug,Major
CLI-57,2003-05-24T22:31:58.000+0000,2007-03-15T16:49:15.000+0000,Duplicate,Bug,Major
CLI-56,2004-04-20T07:24:52.000+0000,2007-03-15T16:49:15.000+0000,Fixed,Bug,Major
CLI-55,2004-03-11T00:50:11.000+0000,2007-03-15T16:39:14.000+0000,Fixed,Bug,Major
CLI-54,2004-01-11T11:07:57.000+0000,2007-03-15T16:49:15.000+0000,Duplicate,Bug,Major
CLI-53,2005-10-11T05:47:10.000+0000,2010-06-15T20:11:46.000+0000,Duplicate,Bug,Major
CLI-52,2002-11-09T21:58:35.000+0000,2007-03-15T16:49:15.000+0000,Fixed,Bug,Major
CLI-51,2005-05-10T10:50:14.000+0000,2007-05-22T17:47:28.000+0000,Fixed,Bug,Critical
CLI-50,2003-04-09T01:47:55.000+0000,2007-03-15T16:49:15.000+0000,Fixed,Bug,Major
CLI-49,2005-03-08T15:18:26.000+0000,2007-03-15T16:49:15.000+0000,Duplicate,Bug,Major
CLI-48,2003-07-05T04:36:21.000+0000,2007-03-15T16:49:14.000+0000,Incomplete,Bug,Major
CLI-47,2004-09-18T14:00:02.000+0000,2007-03-15T16:49:14.000+0000,Cannot Reproduce,Bug,Major
CLI-46,2003-11-18T20:10:20.000+0000,2007-03-15T16:49:14.000+0000,Fixed,Bug,Major
CLI-45,2004-07-14T06:07:40.000+0000,2007-03-15T16:49:14.000+0000,Fixed,Bug,Major
CLI-44,2005-06-03T01:36:21.000+0000,2007-03-15T16:49:14.000+0000,Fixed,Bug,Major
CLI-43,2005-01-05T01:12:25.000+0000,2007-03-15T16:49:14.000+0000,Duplicate,Bug,Major
CLI-42,2003-05-06T15:33:48.000+0000,2007-03-15T16:49:14.000+0000,Fixed,Bug,Minor
CLI-41,2006-02-11T08:12:47.000+0000,2010-06-15T14:58:25.000+0000,Fixed,Bug,Major
CLI-40,2006-03-04T03:34:18.000+0000,2006-06-08T00:26:07.000+0000,Fixed,Bug,Major
CLI-39,2002-10-09T03:54:40.000+0000,2007-03-15T16:49:13.000+0000,Fixed,Bug,Major
CLI-38,2005-02-02T07:45:03.000+0000,2007-05-15T21:24:16.000+0000,Fixed,Bug,Major
CLI-37,2003-03-06T01:18:00.000+0000,2008-07-25T12:01:32.000+0000,Duplicate,Bug,Major
